freq_paiement;langue;type_prof;alimentation;type_territoire;utilisation;presence_alarme;marque_voiture;sexe;cout1;cout2;cout3;cout4;nbsin;exposition;cout;age;duree_permis
mensuel;F;Technicien;Végétarien;Urbain;Travail-quotidien;non;VOLKSWAGEN;F;;;;;0;0,610958904;;29;10
mensuel;F;Technicien;Végétarien;Urbain;Travail-quotidien;non;VOLKSWAGEN;F;;;;;0;0,663013699;;30;11
annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;NISSAN;M;279,5838509;;;;1;0,994520548;279,58;42;21
annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;NISSAN;M;;;;;0;0,873972603;;43;22
annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;NISSAN;M;;;;;0;0,043835616;;44;23
annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;NISSAN;M;;;;;0;0,073972603;;44;23
annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;NISSAN;M;;;;;0;0,98630137;;44;23
annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;NISSAN;M;;;;;0;0,997260274;;45;24
annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;NISSAN;M;;;;;0;1;;46;25
annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;NISSAN;M;;;;;0;0,997260274;;47;26
annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;NISSAN;M;;;;;0;0,621917808;;48;27
annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;non;NISSAN;M;;;;;0;0,37260274;;48;27
annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;non;NISSAN;M;;;;;0;1;;50;29
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;HONDA;M;;;;;0;1;;49;20
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;HONDA;M;;;;;0;0,997260274;;50;21
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;HONDA;M;814,1677019;;;;1;0,243835616;814,17;51;22
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;HONDA;M;;;;;0;0,564383562;;51;22
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;non;HONDA;M;;;;;0;0,183561644;;52;23
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;non;HONDA;M;;;;;0;0,997260274;;52;23
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;non;HONDA;M;136,863354;;;;1;1;136,86;53;24
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;non;HONDA;M;;;;;0;0,997260274;;54;25
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;TOYOTA;M;;;;;0;1;;56;21
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;TOYOTA;M;;;;;0;0,997260274;;57;22
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;TOYOTA;M;;;;;0;0,997260274;;58;23
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;TOYOTA;M;;;;;0;0,997260274;;59;24
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;non;TOYOTA;M;;;;;0;0,991780822;;61;26
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;non;TOYOTA;M;;;;;0;0,991780822;;61;26
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;non;TOYOTA;M;;;;;0;0,479452055;;62;27
annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;oui;HONDA;M;;;;;0;0,997260274;;58;36
annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;oui;HONDA;M;;;;;0;0,945205479;;62;40
annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;HONDA;M;;;;;0;0,049315068;;63;41
annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;non;HONDA;M;;;;;0;0,997260274;;63;41
annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;oui;HONDA;M;;;;;0;0,767123288;;64;42
annuel;F;Ingénieur;Carnivore;Semi-urbain;Travail-quotidien;oui;HONDA;M;;;;;0;1;;65;43
annuel;F;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;NISSAN;M;;;;;0;0,432876712;;34;13
annuel;F;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;NISSAN;M;;;;;0;0,561643836;;34;13
annuel;F;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;NISSAN;M;;;;;0;1;;35;14
annuel;F;Technicien;Carnivore;Urbain;Travail-occasionnel;oui;NISSAN;M;;;;;0;0,6;;36;15
mensuel;F;Médecin;Végétarien;Semi-urbain;Travail-occasionnel;non;GM;F;;;;;0;0,460273973;;28;10
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;TOYOTA;F;;;;;0;0,306849315;;51;20
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;TOYOTA;F;;;;;0;0,021917808;;52;21
mensuel;F;Technicien;Carnivore;Semi-urbain;Travail-occasionnel;oui;TOYOTA;F;;;;;0;0,221917808;;52;21
mensuel;F;Technicien;Végétarien;Urbain;Travail-occasionnel;non;PEUGEOT;M;;;;;0;0,424657534;;40;22
mensuel;F;Technicien;Végétarien;Urbain;Travail-occasionnel;oui;FORD;M;;;;;0;0,843835616;;60;31
mensuel;F;Technicien;Carnivore;Urbain;Travail-occasionnel;non;RENAULT;F;;;;;0;0,997260274;;40;19
mensuel;F;Technicien;Carnivore;Urbain;Travail-occasionnel;non;FORD;F;;;;;0;0,854794521;;41;20
mensuel;F;Technicien;Carnivore;Urbain;Travail-occasionnel;non;FORD;F;608,7267081;;;;1;1;608,73;42;21
mensuel;F;Technicien;Végétarien;Urbain;Travail-occasionnel;non;FORD;F;;;;;0;0,997260274;;43;22
mensuel;F;Technicien;Carnivore;Urbain;Travail-occasionnel;non;FORD;F;18687,43478;;;;1;0,997260274;18687,43;44;23
mensuel;F;Technicien;Carnivore;Urbain;Travail-occasionnel;non;FORD;F;;;;;0;0,997260274;;45;24
mensuel;F;Technicien;Carnivore;Urbain;Travail-occasionnel;non;FORD;F;;;;;0;1;;46;25
mensuel;F;Informaticien;Végétalien;Semi-urbain;Travail-occasionnel;non;AUDI;M;;;;;0;0,997260274;;43;14
mensuel;F;Informaticien;Végétarien;Semi-urbain;Travail-occasionnel;non;AUDI;M;;;;;0;1;;44;15
mensuel;F;Informaticien;Végétarien;Semi-urbain;Travail-occasionnel;non;AUDI;M;;;;;0;0,997260274;;45;16
mensuel;F;Informaticien;Végétarien;Semi-urbain;Travail-occasionnel;non;AUDI;M;;;;;0;0,997260274;;46;17
mensuel;F;Informaticien;Végétarien;Semi-urbain;Travail-occasionnel;non;VOLKSWAGEN;M;349,7142857;;;;1;0,98630137;349,71;47;18
mensuel;F;Informaticien;Végétarien;Semi-urbain;Travail-occasionnel;non;VOLKSWAGEN;M;;;;;0;0,997260274;;50;21
mensuel;F;Informaticien;Carnivore;Semi-urbain;Travail-occasionnel;non;VOLKSWAGEN;M;;;;;0;0,997260274;;51;22
mensuel;F;Technicien;Carnivore;Urbain;Travail-occasionnel;non;VOLKSWAGEN;F;279,1490683;;;;1;0,747945205;279,15;37;16
mensuel;F;Technicien;Carnivore;Urbain;Travail-occasionnel;non;VOLKSWAGEN;F;;;;;0;0,249315068;;38;17
mensuel;F;Technicien;Végétalien;Semi-urbain;Travail-quotidien;oui;PEUGEOT;F;;;;;0;0,55890411;;29;8
mensuel;F;Technicien;Végétarien;Semi-urbain;Travail-quotidien;oui;PEUGEOT;F;;;;;0;0,150684932;;30;9
annuel;F;Informaticien;Végétalien;Semi-urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;;;;;0;0,997260274;;39;20
annuel;F;Informaticien;Végétarien;Semi-urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;;;;;0;0,205479452;;41;22
annuel;F;Informaticien;Végétarien;Semi-urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;;;;;0;0,347945205;;41;22
annuel;F;Informaticien;Végétarien;Semi-urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;;;;;0;0,438356164;;41;22
annuel;F;Informaticien;Végétarien;Semi-urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;;;;;0;0,997260274;;42;23
annuel;F;Informaticien;Végétarien;Semi-urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;412,4285714;;;;1;0,997260274;412,43;43;24
annuel;F;Informaticien;Végétarien;Semi-urbain;Travail-occasionnel;oui;VOLKSWAGEN;M;;;;;0;0,4;;44;25
annuel;F;Informaticien;Végétarien;Semi-urbain;Travail-occasionnel;non;AUDI;M;;;;;0;0,597260274;;44;25
annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;non;VOLKSWAGEN;F;;;;;0;0,410958904;;40;22
annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;non;VOLKSWAGEN;F;;;;;0;0,997260274;;42;24
annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;non;VOLKSWAGEN;F;;;;;0;0,997260274;;43;25
annuel;A;Technicien;Carnivore;Urbain;Travail-occasionnel;non;VOLKSWAGEN;F;;;;;0;0,983561644;;46;28
